fecha,sku,pais,horizonte_dias,demanda_forecast
2026-06-19,294000,Colombia,60,57
2026-06-20,294000,Colombia,60,70
2026-06-21,294000,Colombia,60,94
2026-06-22,294000,Colombia,60,79
2026-06-23,294000,Colombia,60,62
2026-06-24,294000,Colombia,60,63
2026-06-25,294000,Colombia,60,66
2026-06-26,294000,Colombia,60,64
2026-06-27,294000,Colombia,60,77
2026-06-28,294000,Colombia,60,75
2026-06-29,294000,Colombia,60,72
2026-06-30,294000,Colombia,60,65
2026-07-01,294000,Colombia,60,64
2026-07-02,294000,Colombia,60,61
2026-07-03,294000,Colombia,60,65
2026-07-04,294000,Colombia,60,68
2026-07-05,294000,Colombia,60,79
2026-07-06,294000,Colombia,60,62
2026-07-07,294000,Colombia,60,59
2026-07-08,294000,Colombia,60,61
2026-07-09,294000,Colombia,60,64
2026-07-10,294000,Colombia,60,57
2026-07-11,294000,Colombia,60,69
2026-07-12,294000,Colombia,60,72
2026-07-13,294000,Colombia,60,64
2026-07-14,294000,Colombia,60,63
2026-07-15,294000,Colombia,60,60
2026-07-16,294000,Colombia,60,61
2026-07-17,294000,Colombia,60,58
2026-07-18,294000,Colombia,60,71
2026-07-19,294000,Colombia,60,71
2026-07-20,294000,Colombia,60,64
2026-07-21,294000,Colombia,60,62
2026-07-22,294000,Colombia,60,57
2026-07-23,294000,Colombia,60,60
2026-07-24,294000,Colombia,60,61
2026-07-25,294000,Colombia,60,75
2026-07-26,294000,Colombia,60,76
2026-07-27,294000,Colombia,60,63
2026-07-28,294000,Colombia,60,61
2026-07-29,294000,Colombia,60,64
2026-07-30,294000,Colombia,60,60
2026-07-31,294000,Colombia,60,61
2026-08-01,294000,Colombia,60,73
2026-08-02,294000,Colombia,60,74
2026-08-03,294000,Colombia,60,64
2026-08-04,294000,Colombia,60,57
2026-08-05,294000,Colombia,60,63
2026-08-06,294000,Colombia,60,62
2026-08-07,294000,Colombia,60,59
2026-08-08,294000,Colombia,60,74
2026-08-09,294000,Colombia,60,72
2026-08-10,294000,Colombia,60,65
2026-08-11,294000,Colombia,60,64
2026-08-12,294000,Colombia,60,61
2026-08-13,294000,Colombia,60,62
2026-08-14,294000,Colombia,60,62
2026-08-15,294000,Colombia,60,72
2026-08-16,294000,Colombia,60,73
2026-08-17,294000,Colombia,60,63
